id_job,gpu_id,avgmemoryutilization_pct,avgsmutilization_pct,memoryutilization_pct_avg,pcierxbandwidth_megabytes_avg,pcietxbandwidth_megabytes_avg,totalexecutiontime_sec,powerusage_watts_avg
1626809484,1,2.0,70.0,2.0,909.0,346.0,88524.9,51.3012
1626809484,1,2.0,72.0,2.0,1237.0,484.0,88526.6,49.677
1626809484,1,2.0,72.0,2.0,661.0,402.0,88525.1,51.6579
1626809484,1,2.0,72.0,2.0,1229.0,1796.0,88526.6,52.7227
1626809484,0,2.0,72.0,2.0,1206.0,1156.0,88525.1,52.2354
1626809484,0,2.0,71.0,2.0,1279.0,1428.0,88524.9,53.8726
1626809484,1,2.0,71.0,2.0,1290.0,429.0,88524.9,53.3876
1626809484,1,2.0,70.0,2.0,768.0,1358.0,88524.9,50.6997
1626809484,1,2.0,72.0,2.0,1220.0,1668.0,88527.6,54.9182
1626809484,1,2.0,70.0,2.0,1036.0,657.0,88526.6,52.5831
1626809484,1,2.0,71.0,2.0,1411.0,1266.0,88525.1,50.1904
1626809484,0,2.0,71.0,2.0,848.0,1368.0,88525.0,51.3572
1626809484,1,2.0,71.0,2.0,1238.0,1407.0,88526.6,53.1587
1626809484,0,1.0,72.0,2.0,678.0,430.0,88524.9,50.3696
1626809484,0,1.0,71.0,2.0,939.0,1463.0,88526.6,48.5773
1626809484,1,2.0,72.0,2.0,1215.0,1802.0,88524.9,49.2542
1626809484,0,2.0,72.0,2.0,1462.0,1685.0,88524.9,49.0813
1626809484,0,2.0,72.0,2.0,1117.0,1296.0,88526.6,51.4825
1626809484,0,2.0,71.0,2.0,1160.0,556.0,88526.6,54.3289
1626809484,0,2.0,71.0,2.0,734.0,350.0,88526.5,49.5961
1626809484,1,2.0,71.0,2.0,1031.0,1147.0,88526.6,53.3654
1626809484,1,2.0,72.0,2.0,1436.0,591.0,88524.9,50.6922
1626809484,0,2.0,71.0,2.0,1423.0,634.0,88526.6,50.516
1626809484,1,2.0,71.0,1.0,1454.0,1837.0,88524.9,52.3708
1626809484,0,2.0,71.0,2.0,1413.0,1318.0,88524.9,51.8478
1626809484,0,2.0,71.0,2.0,1446.0,1103.0,88524.9,52.5374
1626809484,0,2.0,71.0,2.0,1309.0,359.0,88524.9,50.9345
1626809484,0,2.0,70.0,2.0,1099.0,1195.0,88526.6,51.3347
1626809484,1,2.0,71.0,2.0,1310.0,1585.0,88524.9,49.0902
1626809484,1,2.0,71.0,2.0,872.0,664.0,88524.9,53.1522
1626809484,0,2.0,71.0,2.0,794.0,1736.0,88524.9,51.7193
1626809484,0,2.0,72.0,2.0,741.0,302.0,88524.9,51.4971
1626809484,1,2.0,71.0,2.0,1206.0,1267.0,88524.9,51.2908
1626809484,1,1.0,71.0,2.0,623.0,1733.0,88526.6,48.4815
1626809484,0,2.0,71.0,2.0,949.0,341.0,88527.6,51.48
1626809484,1,2.0,72.0,2.0,1466.0,627.0,88524.9,51.9748
1626809484,0,2.0,72.0,2.0,807.0,1026.0,88526.6,52.2454
1626809484,1,1.0,71.0,2.0,1385.0,523.0,88527.7,52.0221
1626809484,1,2.0,71.0,2.0,1035.0,321.0,88524.9,51.9637
1626809484,1,2.0,70.0,2.0,1190.0,1710.0,88524.9,50.7366
1626809484,0,2.0,71.0,2.0,628.0,1482.0,88527.7,50.0029
1626809484,1,2.0,70.0,2.0,1130.0,1365.0,88524.9,52.1103
1626809484,1,2.0,71.0,2.0,870.0,1301.0,88524.9,53.0586
1626809484,1,2.0,71.0,2.0,1141.0,603.0,88527.6,48.9126
1626809484,0,2.0,71.0,2.0,1175.0,1471.0,88524.9,54.5946
1626809484,0,2.0,71.0,2.0,1034.0,1769.0,88524.9,51.3439
1626809484,0,2.0,72.0,2.0,777.0,1213.0,88527.6,51.193
1626809484,0,2.0,70.0,2.0,1094.0,531.0,88524.9,50.6705
1626809484,0,2.0,70.0,2.0,767.0,653.0,88524.9,51.6208
